real_name,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
0,0.170179,0.553208,0.611025,1.21673,2.17963,0.491686,1.41899,2.1467,0.119086,0.175632,0.923497,1.90634,1.67086,1.92128,3.93315,1.22019,0.419212,0.155049,0.664047,0.942937,3.39169,2.22936,4.76837,1.40754,0.548891,0.444095,0.450099,0.477477,1.01338,4.1037,1.64715,2.25713,0.331233,0.287281,0.266529,0.927358,0.77916,1.83247,2.02023,1.44199,0.580583,0.253532,0.617265,2.53756,2.97166,2.48744,0.976599,1.65337,0.191609,0.27343,0.829465,1.33465,2.22264,1.99214,2.07397,1.66157,0.589437,0.457918,1.9398,2.16361,5.13217,2.79272,2.49446,2.24471,0.910621,1.22165,1.79408,3.78753,3.96074,2.34014,1.90568,4.29788,0.879474,1.28272,0.995043,2.39757,1.59165,3.20091,1.13558,1.13869,1.46986,0.546239,0.986499,0.832639,0.63165,0.831988,1.83797,1.0342,0.749506,0.480831,1.04938,0.711313,0.345946,0.745402,0.625184,3.44414,0.481715,0.550711,0.189355,0.366925,0.320212,0.663161,0.886811,1.09946
1,0.184955,0.27452,3.91809,1.79656,1.0411,0.410023,1.13577,1.20518,0.291677,0.68135,1.66441,0.565297,0.664381,0.489021,0.658683,1.39376,0.394135,0.173703,0.291588,0.401056,0.519522,1.53966,1.07939,1.24176,0.935514,0.633928,0.508694,0.711297,0.443969,0.861156,0.775791,1.12963,0.94626,0.709626,0.754617,0.616676,0.978602,0.895367,1.28577,7.18435,1.30166,1.39095,1.38838,0.962032,2.05458,1.17927,1.49012,8.51792,0.434239,1.38788,1.01224,1.34465,3.40802,1.61069,2.64852,2.91874,0.744143,0.358413,0.844294,0.378433,1.33441,2.04952,3.80069,1.70756,0.643963,2.46162,1.62115,0.563936,1.60055,2.20094,5.10285,3.63971,0.600769,1.77349,0.866076,0.619768,1.05912,2.69178,3.83496,1.57466,0.91496,1.29654,0.347847,0.492225,0.508826,0.577538,3.37455,1.05348,0.895426,1.23449,0.989464,0.549606,0.643508,3.0938,0.557114,1.3121,1.40898,0.394654,0.281444,0.290492,0.253494,0.624583,0.675134,0.947562
2,3.16539,3.50099,7.38017,2.12808,1.99743,0.41632,0.521254,0.40076,1.71082,1.14486,3.29436,5.6656,1.16702,0.534179,0.971337,0.68367,0.930995,0.705032,1.58078,1.92099,4.46538,0.965245,0.798881,0.941656,0.751217,1.16088,2.92574,1.14681,1.54871,0.821464,0.505202,0.743395,0.509071,0.802134,0.805218,1.06255,0.740111,1.70122,1.79175,1.20878,0.739558,0.897355,1.36072,1.43175,2.57236,1.66977,0.888585,1.85755,0.74244,1.25885,1.04292,1.372,1.50073,1.32413,1.14671,1.39177,1.00717,0.641307,1.31565,1.42457,2.2961,2.28167,2.42922,1.38146,1.18351,0.779852,1.07887,3.55917,2.70413,2.15112,3.78935,4.37591,3.26101,0.913998,0.920319,1.65072,2.07023,2.37655,2.20089,1.61808,6.10843,0.990811,0.569633,0.837648,1.075,1.02033,0.581386,0.620774,1.64796,0.429926,0.450736,0.437963,0.419302,1.03547,0.96971,2.00059,0.591424,0.790823,0.578522,0.43137,0.176118,0.809863,0.792376,0.486656
3,0.659858,2.076,1.51619,1.25886,0.965527,0.339901,0.364572,0.673245,1.0477,1.33847,1.49903,1.37023,1.11136,0.659998,0.781707,0.580866,1.88338,0.90586,1.21555,0.771803,0.840802,0.979468,1.08478,0.755957,1.20076,1.89626,1.43345,1.14175,0.614317,1.06346,0.677084,0.678408,0.821646,0.634396,1.14457,1.77942,1.74887,2.16391,1.27656,1.7734,1.32061,0.716837,1.52638,2.52585,2.70507,2.45556,1.07036,1.52411,0.653786,0.576812,1.76624,3.30271,3.24484,1.73461,1.17045,1.18906,0.80851,0.889759,2.25779,2.64166,2.73184,1.4255,0.790711,0.997655,1.10354,1.34267,2.03454,2.61454,1.97388,2.04098,1.37358,1.90757,1.39674,2.55732,1.33437,1.38329,0.98832,1.62551,1.76392,1.68933,1.44331,1.44668,1.27716,1.06366,0.804581,1.11574,1.6465,0.483691,0.985929,0.786523,1.15206,0.861138,0.554433,1.23578,0.701345,1.26458,0.809323,0.435623,0.523922,0.562378,0.274625,0.402148,0.443592,0.6617
4,0.0576112,0.744474,6.18168,1.47347,2.81297,0.351808,1.81919,3.6216,0.086642,0.335974,2.9579,1.52924,0.886965,0.557483,5.01024,2.28388,0.223832,0.20601,1.13691,0.39609,1.13472,1.32705,3.32505,1.57774,0.329376,0.487528,0.517568,0.520195,0.921403,2.00046,1.00057,1.33777,0.218782,0.482106,0.874609,0.548876,1.34449,0.862055,1.75406,2.9588,0.365642,0.284519,0.238206,2.32962,7.99173,3.75108,1.31834,1.24478,0.499666,0.495237,0.356972,3.90243,9.13899,1.3132,2.12904,3.01884,0.389989,0.319091,2.33417,2.41697,1.67095,3.02159,2.08431,2.19061,0.534854,0.715012,2.26406,4.47384,1.86671,2.07429,2.19062,1.99448,0.882654,1.39035,2.48831,1.32357,1.3507,2.36071,2.26995,2.63092,1.46459,1.53609,0.384407,0.210749,0.679927,1.43137,5.62808,1.53418,1.2066,0.373723,0.661097,0.485282,0.301087,1.27848,0.540815,1.67011,0.832385,0.425371,0.23366,0.275264,0.271858,0.39948,0.686489,1.45753
5,2.23986,5.28686,2.60088,3.68316,5.57912,0.781712,0.393086,0.454505,1.45605,2.96994,3.36337,5.74891,2.52297,0.627758,0.704881,0.644049,1.30896,0.748974,1.08105,1.91015,3.93848,0.523947,1.71881,0.747251,1.50812,1.03663,0.980571,1.01812,1.38658,1.65836,0.523528,0.640415,0.862577,0.691886,1.10696,1.29911,0.955029,2.19736,0.821749,0.834159,0.63115,0.607512,1.99438,2.29814,2.69083,1.56497,0.528581,0.782861,0.689314,1.28906,2.38457,2.40725,2.46677,1.01866,0.666804,0.733031,1.36971,1.45643,1.13688,1.90348,4.86412,1.04006,1.25582,0.663929,0.971751,1.1327,1.4863,1.82982,4.08545,8.05385,2.699,1.86566,1.37387,0.848064,0.341644,0.923123,1.44255,3.71099,3.07341,1.65886,3.04558,0.589996,1.82448,1.15684,0.36004,0.59343,1.21523,0.811423,2.32087,0.798547,1.27099,0.970708,0.189151,0.50371,0.803801,1.50591,0.820905,1.01474,0.725905,0.43201,0.195072,0.388968,0.934158,0.476642
6,0.46737,1.46753,0.726364,1.34881,2.76347,0.760869,1.37918,1.97903,0.734891,1.12123,1.36124,3.12508,1.55359,1.07698,1.78422,1.78468,1.80567,0.897031,1.24953,1.10821,2.03437,0.804432,1.56934,1.25066,1.38733,1.57078,0.877994,0.793279,0.943092,1.32901,0.590897,0.79431,0.643791,0.690721,0.79722,1.76767,0.895397,1.92631,1.18325,1.74139,0.67177,0.403244,0.459974,1.60483,3.62392,2.62354,0.726728,1.11871,0.378293,0.382113,0.976866,1.93908,2.52606,2.02222,1.18604,1.07988,1.19743,0.319626,1.55601,2.07415,5.42791,1.79587,2.40181,1.15471,1.69454,0.696202,1.33286,4.66846,3.82588,4.0068,1.9311,2.04552,1.60614,0.792648,1.25513,2.70958,2.07163,3.34963,1.06017,1.15565,1.93613,0.295787,1.04175,1.12864,0.486196,1.20891,1.76598,0.697891,1.35278,0.400003,0.457316,0.595528,0.388227,0.742127,0.770517,1.51929,0.9241,0.474822,0.309631,0.613098,0.325397,0.548608,0.587997,1.17409
7,0.766507,0.944582,0.632577,0.819282,1.52025,1.40356,1.62483,2.05026,0.338606,0.514518,0.630681,1.0925,1.42295,0.784616,1.1906,1.72047,0.197877,0.719053,0.750509,0.993843,2.07307,1.00232,1.24987,0.993333,0.580694,0.914386,0.593228,0.395441,1.07503,2.2849,0.473499,0.600116,0.819419,0.189026,0.370127,0.751752,1.5889,1.638,2.86521,0.643451,0.432262,0.290909,1.03013,2.77308,4.07855,3.13519,1.21174,2.70054,0.721763,0.958317,2.25592,2.1363,3.23799,2.05025,0.998395,1.9402,0.510013,0.926016,0.586222,2.54357,2.66545,1.79703,2.72772,3.40806,0.686772,1.22108,1.46954,1.03964,2.71517,1.57233,1.89837,3.63409,0.87178,0.752631,1.02345,2.03058,0.817054,1.33613,1.98007,2.08673,0.991023,1.00227,2.32649,0.8219,0.735868,0.647035,1.62438,0.933694,0.813605,0.389696,1.00216,0.700677,0.381914,1.11363,1.1721,2.05944,0.56812,0.300862,0.525841,0.728276,0.198219,0.532938,1.18846,0.928478
8,0.24549,0.566395,1.07803,0.762722,3.27156,0.365086,0.620639,1.5351,0.444921,0.631303,0.599717,2.59737,2.93571,2.01764,1.11907,1.96811,0.950588,0.594597,0.574995,0.754925,2.87731,2.78706,1.89254,0.86721,0.664744,0.692274,1.50216,1.24874,1.18962,1.46599,1.45924,1.18203,0.330603,0.696144,1.97709,1.78378,0.89881,1.82265,0.870945,2.25044,0.490932,0.979564,0.462297,2.18185,3.83059,3.60368,0.386181,0.386008,0.527822,0.644357,0.865916,3.59209,5.66418,1.46517,0.584266,0.562775,0.3996,0.191222,1.24853,2.46891,3.56715,1.90713,0.922862,1.68883,0.37281,0.396489,1.5965,11.6217,12.8243,2.78096,1.99679,1.54104,0.477999,0.467374,2.45174,5.61842,2.18112,4.85164,3.02707,1.53015,1.07205,0.620619,1.70089,0.718944,0.661219,2.41625,2.54493,1.06996,2.66947,0.758588,1.03678,0.387554,0.297469,0.903541,0.457636,0.854638,0.469858,0.971793,0.626267,0.897017,0.228893,0.217184,0.243655,0.989971
9,0.289482,1.94614,2.40034,0.79954,0.655577,0.130968,0.386363,0.603551,0.308658,0.73727,1.44105,1.86348,0.625063,0.342803,0.371751,0.644078,3.49832,0.687632,1.51399,0.893149,0.630105,0.498859,0.605287,0.452033,1.53744,0.871572,0.893825,0.739152,0.406633,0.84498,1.19628,0.687211,1.00044,0.329875,1.98314,3.75643,0.962948,0.885695,0.943128,0.838671,0.952471,0.803586,0.976719,3.88232,5.74971,1.78847,0.640414,0.889115,0.263496,0.521082,0.740977,5.08228,4.50493,1.02568,1.53779,0.936385,0.449795,0.691391,3.87905,4.47564,3.14563,1.12833,0.950308,1.06335,0.710654,1.19062,1.69688,2.44365,5.12732,3.6961,2.16184,1.08802,1.03171,2.33312,2.27554,0.547915,1.43799,2.0681,0.640784,0.609937,0.974426,1.25918,3.00065,1.02921,0.586721,1.24974,1.95943,0.543485,2.02666,1.07814,0.630988,0.383975,0.386192,1.76214,0.659166,2.29599,1.05282,0.752554,0.226266,0.485562,0.279744,0.456182,0.625343,0.990224
