real_name,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
0,0.204841,0.452498,0.540838,1.27237,2.1499,0.796511,1.95707,2.89075,0.164493,0.164446,0.68638,1.77061,1.98609,3.21572,5.33801,1.60563,0.436233,0.165034,0.558761,1.02157,3.49046,3.44345,5.61312,1.42975,0.642243,0.468782,0.47851,0.610112,1.47009,5.00898,2.16881,2.43707,0.376855,0.384882,0.299197,0.981511,1.04978,2.1583,2.40941,1.55579,0.761298,0.303585,0.695799,1.9748,2.36363,2.18909,1.06391,1.69039,0.204355,0.314418,0.869487,1.11553,2.1509,2.46994,2.40895,1.80768,0.658439,0.388982,1.51939,1.70682,4.40124,2.90837,2.43146,1.8435,0.950452,1.1696,1.51631,3.79428,3.95025,2.45355,2.33536,3.90621,0.848362,1.11052,1.07302,2.98258,2.21167,3.94463,1.52721,1.17589,1.04296,0.536285,0.847531,0.906466,0.91805,1.17353,1.8654,1.19787,0.507512,0.437681,0.794628,0.708733,0.47679,0.788328,0.626912,2.98529,0.432581,0.572184,0.201464,0.506514,0.359684,0.704525,0.779864,0.961859
1,0.223163,0.297261,3.62174,1.55721,0.887959,0.427903,1.06404,1.18274,0.341594,0.833959,1.51447,0.49633,0.619277,0.485253,0.607667,1.44192,0.402443,0.214106,0.290085,0.372009,0.459139,1.60262,1.06338,1.1759,0.925191,0.655427,0.523106,0.700528,0.474282,0.845566,0.675457,0.997171,1.08129,0.797006,0.83078,0.64445,1.04263,0.934151,1.17923,5.41087,1.25778,1.54235,1.5999,1.0284,2.13614,1.23025,1.36628,6.66741,0.510721,1.66205,1.21545,1.49612,3.22295,1.44559,2.31252,2.61806,0.713371,0.441906,0.914741,0.420351,1.313,1.82364,3.49559,1.47323,0.561104,2.41088,1.69273,0.609072,1.52508,1.86194,4.45808,3.08563,0.613354,1.59913,0.905469,0.623725,1.0395,2.37385,3.22951,1.5418,1.03717,1.33688,0.348848,0.521336,0.533186,0.637101,2.63058,0.837309,1.03894,1.35834,1.08098,0.58596,0.775108,3.05731,0.552634,0.936299,1.56492,0.442904,0.362065,0.32467,0.279192,0.595139,0.59607,0.764806
2,3.88188,3.92628,6.32027,2.22989,1.90941,0.553956,0.606306,0.431966,2.18478,1.02632,2.79022,5.12464,1.22,0.692163,1.40416,0.763922,1.13609,0.719182,1.66966,1.95131,4.68978,1.40872,1.02217,1.15242,0.719561,1.18172,2.95154,1.17551,1.81154,0.951013,0.613486,0.807473,0.596297,0.807737,0.669274,1.04542,0.786594,1.93839,2.01194,1.02725,0.943606,0.901846,1.34878,1.31247,2.33227,1.86825,0.92393,1.70682,0.737516,1.25104,1.21062,1.38961,1.24124,1.53536,1.1546,1.25759,1.01456,0.655716,1.47616,1.50892,2.21485,2.25106,2.40497,1.20668,1.27219,0.795078,1.02319,3.98925,2.49941,1.57708,3.25248,3.81811,3.50098,0.883369,1.00345,1.81056,2.23444,2.02492,1.94772,1.20397,7.55394,1.05243,0.602829,0.864789,1.35262,1.19217,0.522303,0.478803,1.60453,0.462671,0.42725,0.422302,0.582512,0.943482,1.06427,1.95277,0.596018,0.68986,0.482123,0.476086,0.211937,0.854879,0.75113,0.478504
3,0.738784,1.82041,1.97271,1.91339,1.45909,0.722218,0.71323,1.30114,0.846994,0.948701,1.58369,1.67609,1.57249,1.24399,1.2236,1.04674,1.00131,0.780897,1.19126,1.13665,1.42066,1.74404,1.57971,0.948084,0.828951,1.40091,1.38992,1.4222,1.21729,1.76395,1.00436,0.879625,0.774968,0.843646,1.14556,1.73429,2.92453,2.8945,2.13632,1.95216,1.32186,0.777194,1.71961,2.85868,2.78257,2.74356,1.38056,1.55863,0.676644,0.781764,1.82424,2.9227,3.36672,2.25272,1.76083,1.38228,0.762718,0.728095,1.45807,2.08111,2.71139,1.88369,1.00653,1.00604,0.970953,0.951354,1.53454,2.9168,2.08401,1.85901,1.54337,1.62284,1.24922,1.68916,1.50114,1.81479,1.32286,1.35443,2.07218,1.44399,1.28668,1.28264,0.987906,1.18893,1.2409,1.43576,1.58987,0.622282,0.677714,0.516883,0.796764,0.796031,0.650428,1.14099,0.794891,1.23349,0.722804,0.378282,0.486642,0.739051,0.335834,0.486957,0.459091,0.567062
4,0.0441215,0.456227,4.16209,1.1304,1.68645,0.372048,2.10401,3.54566,0.0642447,0.229605,2.0549,1.19468,0.759583,0.482272,5.67074,2.33795,0.1179,0.192326,0.877661,0.343261,0.955516,1.20071,3.20864,1.57333,0.263051,0.51594,0.45678,0.579261,1.14653,1.86793,0.974842,1.35689,0.210696,0.39676,0.765468,0.476428,1.59202,0.660054,1.73218,2.77726,0.371143,0.224862,0.213926,1.83672,7.60488,3.16478,1.5748,1.63537,0.688057,0.505098,0.35378,3.72192,7.47715,1.57273,2.64936,3.66017,0.431715,0.45448,2.13828,2.10117,1.21943,3.53823,2.12221,2.05279,0.560208,0.860593,1.65071,3.35334,1.4631,1.52042,1.53391,1.81813,0.889678,1.6074,2.41463,1.20744,1.20506,2.01083,1.67301,2.77834,0.893793,1.6589,0.378487,0.204481,1.02971,1.56268,4.52678,1.37858,0.542642,0.267403,0.65364,0.709979,0.55228,1.50987,0.522495,1.15474,0.695659,0.305818,0.250732,0.29476,0.370967,0.479847,0.660688,1.31947
5,2.42402,4.12658,2.69685,3.96384,5.27086,1.06285,0.518604,0.632985,1.47645,3.92029,3.25765,6.30162,2.8017,0.853872,0.754552,1.01575,0.969468,0.870251,0.939999,2.00742,4.27177,0.690027,1.78227,0.734985,1.5263,0.965156,1.00466,1.0892,1.94054,1.96462,0.458012,0.595313,0.865367,0.798014,1.37223,1.39522,1.19889,2.29415,0.824142,0.665849,0.566884,0.679539,2.50596,2.39779,2.88652,1.41698,0.530338,0.636322,0.868159,1.65401,2.66511,2.5838,2.61752,1.0122,0.67244,0.796723,1.35703,1.59939,0.908381,1.88243,4.62563,1.06379,1.24209,0.532195,0.830287,1.0455,1.25531,1.83853,4.10612,8.18172,2.53879,1.47048,1.34799,0.672277,0.385904,1.08125,1.74873,4.37463,2.91226,1.82196,2.45443,0.543346,1.62223,1.45935,0.476377,0.794853,0.880986,0.791112,2.24319,0.733929,1.27694,1.04207,0.256594,0.508292,0.726462,0.884502,1.05204,1.29292,0.999649,0.484318,0.18378,0.363185,0.748329,0.359304
6,0.45471,1.13728,0.459414,0.731185,1.2175,0.671105,1.3282,1.52054,0.867176,0.958121,0.857654,1.74547,1.01226,0.821096,1.62898,1.47215,1.71179,1.28845,1.01455,0.77611,0.939385,0.595638,1.35218,1.0317,1.53519,2.23757,0.749261,0.949969,0.916622,0.84583,0.501,0.751749,0.941042,0.800764,0.789057,1.5768,1.08644,1.64707,1.00047,1.84847,0.904762,0.411169,0.445974,1.11343,3.30899,2.631,0.772722,1.20022,0.542141,0.429457,0.992915,1.73545,2.23473,2.34961,1.40902,1.083,1.15185,0.443503,1.58984,1.65811,3.8005,1.84974,1.95548,1.01042,1.5665,0.763457,1.03066,3.82397,3.19551,2.81194,1.2982,1.47795,1.57551,1.00852,1.35649,2.48912,1.94734,2.30519,0.711775,0.96903,1.2205,0.345571,0.939595,1.18968,0.747454,1.51025,1.35701,0.442082,0.653058,0.351562,0.458978,0.953716,0.79522,1.03044,0.641269,0.737604,0.728855,0.354941,0.426106,0.849093,0.541898,0.670575,0.425726,0.767013
7,0.658377,0.717067,0.459469,0.737978,1.12363,1.50985,1.8154,1.85387,0.268969,0.33831,0.502021,1.07251,1.41006,0.776422,1.36522,1.6109,0.148822,0.69907,0.795376,1.08715,2.09978,0.96268,1.14541,0.776931,0.570209,0.983279,0.60887,0.455466,1.44009,2.20404,0.465074,0.505438,0.778586,0.142699,0.381592,0.944068,2.10226,1.54488,2.83183,0.55825,0.473479,0.208276,0.786642,2.69352,4.40936,2.88018,1.14472,2.89254,0.693023,0.792313,2.03204,2.28821,3.60009,2.71321,1.175,2.13232,0.473883,0.787847,0.555785,2.70509,2.51348,2.35314,2.40101,3.26201,0.750224,1.10423,1.19183,1.06552,2.75751,1.57917,1.45992,3.41574,0.862004,1.01302,1.24163,2.28683,0.834501,1.4027,1.65502,1.98703,0.625442,1.06971,3.05491,0.772444,1.08517,0.810858,1.74953,1.0182,0.475738,0.285097,0.922187,0.757795,0.534825,1.27084,1.10783,2.11391,0.472218,0.213035,0.37856,0.769262,0.231792,0.608176,1.06595,1.00381
8,0.346681,0.584715,0.790874,0.603604,2.19737,0.445986,0.590105,1.40259,0.643739,0.596,0.397894,1.80748,2.59092,2.04988,1.24051,1.84363,0.849769,0.70781,0.520005,0.695514,2.31456,3.29184,2.00668,0.859645,0.541782,0.735681,1.68668,1.55877,1.61416,1.51972,1.57591,1.08148,0.373415,0.74437,2.11302,1.89806,1.21911,1.99007,0.875817,1.52472,0.551574,0.955592,0.522206,2.07151,3.64037,3.6659,0.383686,0.309129,0.642844,0.774594,1.10907,3.92288,4.55796,1.52623,0.547437,0.491563,0.369824,0.267287,1.33589,2.61089,2.78033,1.7351,0.754384,1.25188,0.327119,0.384215,1.56075,12.2323,10.7806,1.86553,1.47241,1.14904,0.473888,0.464374,2.67915,5.85947,2.19819,3.6351,2.66405,1.51157,0.999347,0.761435,1.82992,0.762735,1.00081,3.16322,1.93908,0.828473,2.06863,0.739337,0.992213,0.477816,0.533769,0.973405,0.54541,0.580288,0.418486,0.856671,0.713608,1.17123,0.326532,0.2416,0.206873,0.682807
9,0.324235,1.85265,2.31587,0.697627,0.532073,0.116986,0.326446,0.48094,0.349606,0.596568,1.19514,1.7492,0.533772,0.267791,0.302287,0.546351,2.51813,0.676547,1.38636,0.911554,0.526952,0.398783,0.502401,0.458557,1.38381,1.18379,1.21255,1.04118,0.401742,0.678867,1.33722,0.760085,1.08499,0.477787,2.29421,3.30428,0.990901,0.72551,0.924729,1.03617,1.11047,1.08805,1.22844,2.74403,4.50984,1.4494,0.614886,1.10274,0.344979,0.669411,0.832194,4.14672,3.56964,0.944864,1.5042,0.892902,0.508709,0.918318,3.29439,2.9628,2.01626,0.923051,0.843777,0.927267,0.769472,1.30944,1.28286,1.92658,4.04064,3.01917,2.38685,1.0594,1.11947,1.9776,1.67412,0.443953,1.26196,1.66419,0.819731,0.71235,0.872067,1.3639,2.42589,1.15524,0.718211,1.23902,1.92771,0.520305,1.31764,0.891043,0.509067,0.463475,0.497535,2.25207,0.861039,1.84972,0.844198,0.677016,0.291039,0.585627,0.31557,0.60229,0.687755,0.746618
