real_name,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
20,1.55145,3.3923,3.11954,2.64797,1.52226,0.778205,1.30477,2.88719,0.603408,0.532076,1.68571,5.22602,2.08839,2.73259,3.63757,4.26778,3.29511,1.07889,1.50144,1.82512,5.39263,3.71958,3.20017,1.53272,1.18653,0.78126,0.714624,1.34328,1.55188,1.05629,1.35717,1.26961,0.563173,0.244062,0.288619,1.05602,1.42438,1.99423,1.51014,1.52807,0.539246,0.189255,0.917557,1.73689,3.15648,2.54863,0.755213,0.813392,0.580383,0.161233,0.845515,2.79152,4.33351,2.38164,0.866056,1.43187,0.594466,0.259287,1.37899,4.29523,5.759,3.05261,1.80034,1.29779,0.680509,0.519694,0.438525,4.90059,5.50745,2.85221,2.52437,2.21874,1.4524,1.47023,0.806189,0.752924,3.03891,5.49267,1.56009,1.10993,1.13959,0.747462,1.28313,0.7091,0.9017,1.83194,3.47547,1.20763,0.390471,0.380836,0.731005,0.495288,0.327114,0.965784,0.431138,1.92629,0.60838,0.371305,0.289235,0.832277,0.152324,0.659658,0.608843,1.30807
21,0.401754,1.31696,4.21427,5.29633,4.31634,0.540742,0.734425,0.6749,0.294291,1.25768,4.17099,6.70796,2.13977,0.518325,0.885325,1.14951,1.19617,0.375188,1.25067,2.56267,3.58456,1.1996,1.08807,0.716396,0.743032,0.227576,0.324307,0.764108,1.32276,1.6322,0.369756,0.751421,0.524595,0.24779,0.544507,1.43698,0.844236,1.67153,1.0961,1.24935,0.685415,0.398182,0.80603,3.32346,6.28497,3.67142,0.937618,1.21985,0.238612,0.625067,0.970217,2.25306,3.41416,2.9383,1.72163,1.37989,0.602007,0.433995,1.09515,1.94259,7.48336,4.8869,3.45144,1.97179,0.862126,0.819768,2.38865,3.27232,9.71784,7.13944,1.58826,2.87384,0.392481,1.21367,1.528,1.47249,1.20361,2.05195,1.25488,0.771294,1.76818,0.57859,1.74804,0.431763,0.254552,0.831614,1.37519,1.04387,2.67557,0.784916,0.881567,0.360475,0.221177,0.59332,0.507374,3.08376,1.14783,0.509081,0.21915,0.274767,0.283897,0.345839,0.635313,1.57948
22,0.190091,0.751701,0.722051,0.368779,0.578646,0.424272,0.561951,1.81168,0.214758,0.781697,0.584198,1.43464,0.9188,0.474223,0.461684,0.809562,0.211667,0.608955,0.645544,0.445256,2.50154,1.85074,1.31382,0.416446,0.503555,0.502711,0.637743,0.393975,1.39937,3.3561,0.903146,0.62396,0.585062,0.708175,1.63597,2.50125,1.57999,2.2047,1.63271,0.362517,0.164431,0.527718,2.48675,8.06116,5.1304,2.80534,0.470725,0.298161,0.242018,0.967886,2.382,6.17894,4.86489,1.18315,1.45896,0.721981,0.235357,1.01901,2.56367,4.27752,6.88265,1.22809,1.09336,0.238323,0.166962,0.720667,3.85001,11.5849,9.52052,2.40241,0.959661,0.564964,0.543367,0.66684,1.19581,3.33791,3.71538,4.25204,1.10508,0.988816,1.49656,0.765243,1.46201,0.49032,0.877944,3.09612,0.577626,0.451508,0.52305,0.54845,0.689115,0.632192,0.677314,0.887122,0.669985,0.81495,0.481908,0.929643,0.767711,0.883229,0.643665,0.36034,0.591901,0.455195
23,0.408831,1.17345,4.64698,2.88907,1.49833,0.36479,0.47511,0.439377,0.283307,0.69841,3.96189,3.16086,0.868855,0.641987,0.442439,0.404041,0.847705,0.42357,1.22529,1.74475,1.92456,0.610155,0.5657,0.317263,1.27643,0.412139,1.06327,1.05923,1.18492,1.00562,0.400053,0.484917,0.307365,0.274865,1.56554,4.2818,1.30555,1.48642,0.941887,1.50622,0.544049,0.350743,0.361426,5.57417,5.71746,1.36539,0.602142,1.02591,0.364864,0.598842,0.414172,3.04561,8.07815,1.47364,1.28814,1.88981,0.709477,0.159548,1.30862,3.02071,4.86001,3.35897,1.2637,1.27476,1.02647,0.497787,3.7601,4.11761,4.82651,4.87309,2.18337,2.2326,1.17298,3.92742,2.47238,2.14276,1.24432,1.84802,0.801741,1.20807,1.24519,1.04041,0.952133,0.465535,0.500922,0.954846,1.6798,1.4676,2.08736,0.586564,0.715571,0.275868,0.226949,2.04169,0.697804,3.8931,0.999232,0.83035,0.175464,0.222716,0.178551,0.634154,0.430752,0.827408
24,0.727619,2.4392,1.66505,1.71694,1.7897,1.13386,1.03205,1.5177,0.783142,1.16668,0.752066,0.545314,1.18048,0.866862,2.46208,1.2499,1.38332,0.578495,0.855786,0.668589,0.922807,2.47268,3.54553,2.76271,0.565202,0.547706,0.376672,0.429152,0.638802,1.58686,1.39003,0.739412,0.807859,0.706493,0.467407,0.854754,1.02177,4.10772,2.37089,0.726294,1.23787,1.02219,1.94459,1.82558,2.66525,4.5815,2.00708,1.02444,0.54207,1.76048,4.09009,3.14453,2.65187,2.73128,1.82605,0.710306,0.474787,0.639825,2.32592,2.96293,4.36546,1.71513,1.26246,0.879106,0.431075,0.535564,1.99402,4.0281,3.4105,1.88624,1.45891,2.50187,0.490638,0.853287,1.94924,3.25635,1.97899,1.79263,1.73592,1.27587,4.9819,1.01703,1.11774,0.651905,0.725739,1.1294,1.24635,0.668622,3.09291,1.74018,1.08619,0.453188,0.500138,0.43217,0.958421,1.98996,0.748796,0.399231,0.332012,0.497718,0.389214,0.551238,0.457569,0.603986
25,0.634766,2.23436,1.72985,3.11631,3.20833,1.27659,1.19147,1.50289,0.567457,0.911634,2.00723,2.84181,1.08663,1.36045,3.13428,1.12663,0.552111,0.427175,1.03044,1.04296,2.77003,1.7101,3.75556,2.74877,0.690299,0.804654,1.23855,0.704209,0.569988,1.70968,1.61543,1.62064,0.324658,0.543484,0.563964,1.37562,0.255511,1.65136,2.30509,1.56359,0.490499,0.671019,0.871738,2.84162,3.86839,3.1912,0.992502,1.02091,0.348002,0.761238,2.29798,3.87654,1.93654,2.06314,1.517,1.88298,0.713467,0.362933,2.14865,1.78411,3.77272,2.07643,3.39861,1.97536,0.883391,0.458141,2.21403,2.52376,5.92106,0.98482,2.21118,3.29123,1.50499,0.280372,0.75724,4.12884,1.43078,1.13754,0.78818,0.45588,8.62273,0.249309,0.381538,0.736488,0.550316,1.55191,1.39847,0.575829,1.82118,0.607315,0.575358,0.263386,0.507454,0.750234,2.88489,4.1281,0.728918,0.552032,0.152215,0.217928,0.426622,1.21522,0.849157,0.992703
26,0.815815,2.2274,3.18533,4.06153,10.3374,2.87547,2.46702,3.59957,0.190502,1.22735,5.61744,2.31012,4.97469,2.55505,1.96092,4.59793,0.487792,1.36511,1.20566,2.03344,3.90435,1.42868,3.02122,1.05113,0.554364,0.282463,0.205209,0.773099,1.28007,1.52514,0.68758,0.910281,0.979517,0.474163,0.423082,0.702931,1.19606,2.02434,1.29003,1.83492,0.590481,0.661147,0.919236,5.09278,4.67021,4.16102,1.49379,1.06624,0.676014,1.50449,1.5889,2.65726,6.64453,1.58563,1.55063,1.99274,0.5075,0.355921,0.837751,2.33663,8.25048,3.88713,3.09201,5.67484,0.466777,0.250872,1.13629,2.26921,6.1912,6.10827,3.37943,3.66545,0.394891,0.496411,0.865283,1.00324,1.4432,1.7446,0.879903,1.20898,1.50285,0.275126,0.873696,0.868905,0.414443,0.622557,2.10208,2.07618,3.97873,0.507603,1.81654,0.560346,0.137006,0.803944,0.518205,1.97533,0.63914,0.252598,0.510107,0.37922,0.274649,0.455493,0.676752,1.355
27,2.18846,6.63125,2.56755,3.12414,1.77749,1.23603,1.36234,1.3997,1.37993,0.669501,1.0447,1.73862,4.67633,7.23976,4.59544,1.74864,1.20877,0.322964,0.235945,1.73541,4.14809,4.98616,4.56665,2.25484,0.469844,0.338146,1.19067,2.05808,2.11925,1.84085,5.21418,3.11676,0.474969,0.133393,0.733888,0.947268,1.22652,1.7322,1.30612,1.18093,1.65314,0.502553,0.542401,0.905335,2.34978,1.86795,1.06661,0.467059,0.964003,0.896116,1.03506,2.76889,3.58149,2.15571,1.07495,0.860918,0.942513,0.45225,1.97639,4.38256,2.96912,1.98206,1.24012,1.11809,0.677874,0.999203,1.08767,2.47615,4.01735,1.8002,2.31388,3.72286,0.497005,0.63095,1.33189,0.920058,1.34727,1.66055,2.48044,0.941735,1.18482,0.850651,1.66453,0.631596,1.01032,0.760859,1.58274,0.927293,1.75899,0.881269,0.954669,0.483881,0.563872,1.0575,1.09993,2.18268,0.907487,0.427843,0.176175,0.565394,0.225514,0.755444,0.587102,1.10769
28,0.601571,1.07241,3.97657,4.76728,3.08712,0.601765,0.934977,1.07495,0.23646,0.498187,3.38385,3.56594,1.20129,0.732274,0.63002,1.25311,0.70125,0.242059,1.35414,2.16059,3.7194,1.13406,1.35709,1.2413,0.523793,0.382181,0.965057,0.70525,1.11803,1.55345,0.933369,0.696155,0.355329,0.394742,0.946968,1.55946,0.879263,2.6609,1.93003,1.55308,0.73476,0.845974,1.28174,3.26957,2.63278,1.62014,0.879851,1.77581,0.307326,0.917112,2.18024,2.93548,2.87679,1.66077,1.55402,0.894237,0.733255,0.424254,1.40761,2.41061,7.34573,3.57444,2.3444,1.28088,0.929172,0.703708,1.11229,2.95906,5.89419,3.67435,2.07906,1.59733,1.13884,1.27651,1.30989,2.2969,1.7848,2.14559,2.02543,0.548049,2.41901,0.592558,1.42037,1.28312,0.856724,0.934076,1.79489,0.837828,2.37949,0.70663,0.734694,0.313615,0.310631,0.613422,0.891798,2.9192,1.19328,0.388878,0.134661,0.34446,0.216565,0.594605,0.723961,0.829347
29,0.631517,1.24206,4.17841,3.95438,3.05087,0.950054,1.00887,1.94156,0.412042,0.437088,2.64094,3.25612,1.14265,0.568432,1.59276,2.05985,0.787859,0.530102,1.48946,2.23454,2.69361,1.33338,2.254,1.8923,0.400685,0.359293,0.578963,1.58258,1.42708,2.50466,1.05822,1.35291,0.283397,0.607455,0.478346,0.859577,1.0717,2.99554,2.42683,1.7335,0.483093,0.441614,1.62328,2.56545,2.4207,3.7815,1.66369,1.46983,0.361813,0.484532,1.37124,1.85289,2.43056,2.39661,1.12853,1.17557,0.441622,0.365456,0.815121,1.62976,3.98717,4.77162,2.16807,1.14379,0.530679,0.395483,1.79669,4.76609,8.98668,3.88972,2.1329,1.13412,0.352524,1.3946,1.08188,2.91897,2.59223,1.71206,3.47791,1.54708,0.808416,0.672725,0.684053,0.707972,0.763732,1.50125,2.53949,1.9674,0.710668,0.405219,0.429745,0.432113,0.257824,1.03419,1.26203,2.83593,0.55883,0.32408,0.32964,0.483839,0.241941,0.753423,0.84823,0.806521
