iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,base
0,40,10214.8,22597.8,238.897,105000,3057.56,6075.77,3541.55,105000,4243.97,5026.76,15999.6,5265.83,691.376,4547.67,2800.55,2266.35,6353.7,104289,29300.7,4876.61,2616.6,2073.25,4689.66,8996.16,2188.42,733.55,1981.19,7666.76,18673.1,3283.73,950.585,2438.45,3433.05,7842.45,4918.25,4929.17,1641.23,379.165,2855.31,4587.69,4591.81,10680.7,2864.02,238.897
1,96,722.903,902.486,42.2726,3085.03,88.2804,277.197,95.595,2098.08,441.53,781.278,397.913,935.407,42.2726,271.849,138.908,715.405,956.949,2662.16,2521.62,72.2742,222.288,88.8498,77.8264,2922.89,71.2892,1593.15,287.622,1890.63,3085.03,108.333,290.997,150.895,647.335,2391.38,330.248,192.216,371.658,250.797,186.558,358.078,270.412,59.956,406.585,164.379
2,152,38.6357,46.457,6.62563,279.434,34.6235,6.87798,6.62563,42.823,39.8898,30.611,79.3612,15.6846,20.677,18.1675,35.2536,21.5846,125.596,52.2306,25.9946,16.0473,30.6378,22.0654,21.908,105.811,22.8955,52.8294,26.7942,55.6627,14.3675,33.3553,28.1855,21.2695,9.9543,26.1034,279.434,10.7934,20.4347,10.3753,45.4265,14.5711,34.6123,11.6561,60.7079,13.5295
3,208,11.4287,10.4526,2.25645,65.6734,9.45355,7.66053,2.25645,10.97,20.7573,14.6504,6.90827,7.09477,12.1263,5.73242,10.1307,9.31374,6.66315,5.81358,12.2082,5.51318,24.2985,7.61204,12.9571,26.3495,4.00279,10.9751,15.8854,13.9322,5.64053,2.31731,12.0733,10.2592,5.96881,6.7703,65.6734,5.32175,15.6264,3.60688,14.6738,8.39477,19.4819,6.18922,7.6371,4.24889
4,264,6.24055,3.92577,1.11483,19.3149,6.85855,4.40023,1.11483,6.29697,7.42777,9.29738,4.74399,3.95569,5.48828,4.92654,5.26624,5.62177,3.51006,2.346,7.24605,3.43431,13.9941,3.57386,8.82874,9.87901,2.44207,4.56462,19.3149,9.1801,3.43679,1.53629,7.29169,7.71049,2.39786,3.2092,7.14007,3.41851,14.5321,1.96468,12.7473,5.75707,10.8835,6.61948,4.81247,2.45247
5,282,6.22417,3.9433,1.11483,19.3149,6.85855,4.40023,1.11483,6.29697,7.42777,9.29738,4.74399,3.95569,5.48828,4.92654,5.26624,5.62177,3.51006,2.346,7.24605,3.43431,13.9941,3.57386,8.82874,9.87901,2.44207,4.56462,19.3149,9.1801,3.43679,1.53629,7.29169,7.71049,2.39786,3.2092,7.14007,3.41851,14.5321,1.96468,12.7473,5.75707,10.8835,6.61948,4.81247,1.79739
