iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,base
0,40,10322.4,22834,238.897,105710,3021.16,6375.21,3690.71,105710,4181.71,5027.66,16511,5361.09,661.118,4561.69,2862.91,2314.92,6332.33,105703,29756.7,4944.75,2616.28,1962.93,4549.97,8823.22,2294.03,854.802,2114.94,7980.92,18615.6,3309.14,858.852,2412.09,3392.55,8360.58,5048.95,4953.71,1436.33,355.957,2904.1,4788.03,4475.34,10767.4,2764.03,238.897
1,96,717.928,899.31,43.2879,3106.16,77.7634,238.313,107.844,1973.42,415.791,759.125,369.653,961.784,43.2879,281.436,138.967,671.832,955.963,2411.84,2365.84,84.6432,189.888,73.1816,68.0275,2822.96,58.4407,1731.96,345.389,2030.08,3106.16,101.146,232.638,161.294,659.576,2691.27,348.751,169.085,312.772,262.232,181.462,411.808,229.42,43.4052,464.306,164.379
2,152,42.1464,42.0177,13.5295,242.516,29.9878,29.2633,14.4077,46.9369,39.4244,23.5636,115.742,26.696,24.7659,24.7748,27.891,23.8267,135.414,33.6272,21.3775,27.5467,27.4794,42.8853,19.4548,88.4545,37.2068,30.8545,22.3924,70.6342,26.4573,32.0275,17.3222,28.3673,19.5107,45.2387,242.516,21.0689,22.3335,27.1498,44.5164,25.0858,28.1585,18.8047,89.1617,13.5295
3,208,18.074,9.07027,4.24889,52.4851,9.2962,20.6967,12.7779,19.7558,17.5947,12.8994,13.5208,27.1427,16.1637,15.4788,11.2484,10.4963,11.6579,35.481,21.3301,19.9951,21.8052,21.4539,10.9471,35.7374,4.71358,23.9911,16.6726,15.8361,16.2189,9.78608,6.3096,16.9092,13.3305,25.7088,52.4851,17.4916,28.114,20.9571,12.5651,24.005,11.877,17.4478,18.814,4.24889
4,264,14.2747,6.57089,2.45247,31.3763,10.179,21.6776,12.8313,14.5778,5.12212,9.26774,9.53333,22.2685,9.99399,15.7208,7.40311,6.85636,8.06272,25.2586,18.1217,16.2435,19.9793,18.8595,9.39558,17.0286,4.65361,11.6744,17.0591,19.7181,13.9486,10.1052,7.24667,12.8012,9.0188,25.7374,9.16482,16.6017,31.3763,19.5509,13.8119,20.0128,7.13735,17.3461,23.1904,2.45247
5,282,14.2584,6.60186,1.79739,31.3763,10.179,21.6776,12.8313,14.5778,5.12212,9.26774,9.53333,22.2685,9.99399,15.7208,7.40311,6.85636,8.06272,25.2586,18.1217,16.2435,19.9793,18.8595,9.39558,17.0286,4.65361,11.6744,17.0591,19.7181,13.9486,10.1052,7.24667,12.8012,9.0188,25.7374,9.16482,16.6017,31.3763,19.5509,13.8119,20.0128,7.13735,17.3461,23.1904,1.79739
