real_name,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
0,0.213059,0.421598,0.249745,0.666004,1.04783,0.792565,1.67959,2.52415,0.267428,0.227441,0.380829,0.915534,1.30147,3.12194,3.74116,1.08327,0.454742,0.218757,0.404136,0.795062,1.24686,1.99548,4.53164,0.870787,0.881825,0.785187,0.423112,0.723334,1.18071,3.83743,2.27776,1.91822,0.387712,0.580854,0.342624,0.795127,1.14583,1.80248,1.60335,1.18458,0.89,0.405615,0.775953,1.08028,1.19933,1.23903,0.643591,1.08705,0.224564,0.295849,0.993237,0.751903,1.70455,1.62536,2.07117,1.36991,0.527217,0.519316,1.28966,1.16626,2.73061,1.45676,1.02869,1.18614,0.747739,0.968884,1.12645,2.62731,2.51693,2.52967,2.17651,2.68046,0.618532,0.92212,0.826317,2.52347,2.17641,3.95039,2.27549,1.57815,0.425339,0.433697,0.649345,1.67474,1.31396,1.49528,2.16887,1.10819,0.309216,0.408888,0.749497,1.53024,0.658947,1.0236,0.864994,1.55351,0.401972,0.689945,0.424818,1.06792,0.521404,0.910782,0.776667,0.576569
1,0.321572,0.367503,2.78344,1.28078,0.647743,0.607987,1.00713,1.02072,0.578084,1.40615,1.46421,0.361098,0.514966,0.545109,0.530589,1.2707,0.624013,0.350081,0.323785,0.374216,0.335374,1.7511,1.07738,1.08445,1.24288,0.753478,0.481714,0.717948,0.588512,0.992003,0.644032,0.867858,1.44701,0.955598,0.799372,0.59501,1.0574,0.951756,0.924663,3.35231,1.54083,1.88975,1.47212,0.972543,1.67097,1.00223,1.14461,5.10466,0.852572,1.95378,1.64803,1.56548,2.83718,1.17119,1.85024,2.27115,0.892536,0.805617,1.11241,0.632771,1.41538,1.43212,2.77434,1.34764,0.694254,2.96185,2.19271,0.697566,1.29455,1.6495,4.17208,2.47302,0.695602,1.95336,0.975183,0.650779,1.06893,2.01086,3.50273,1.6591,0.989861,1.65093,0.428268,0.680726,0.716256,0.798236,2.438,0.691677,1.56519,2.01086,1.57713,1.01265,1.15482,3.64111,0.886641,0.717557,2.1242,0.637553,0.725367,0.577422,0.43439,0.672067,0.734252,0.757141
2,4.18726,4.63498,3.9593,1.6209,1.30126,0.856035,0.618369,0.28661,3.61421,1.29171,2.71282,4.24591,0.893683,0.587276,1.35861,0.548232,1.53513,0.995131,1.87975,2.0726,3.5625,1.28717,0.817255,1.19652,0.769619,1.5407,2.32708,1.12731,1.73962,0.919573,0.694594,0.759347,0.792142,0.755269,0.390271,0.720758,0.574932,1.42265,1.38021,0.697852,1.38493,0.927012,0.784608,0.901366,1.14313,1.09998,0.589359,1.20778,1.00054,0.994088,1.25881,1.10122,0.760912,1.13586,0.797215,0.706608,1.29393,1.11493,1.71545,2.02505,1.69565,1.37115,1.42262,0.727888,2.01588,0.839849,1.03937,5.04419,1.8651,1.04207,2.2652,2.11264,3.9725,1.19111,1.12314,2.07019,2.60194,1.4085,2.2462,0.818987,6.81973,1.30621,0.836642,1.10803,2.41388,1.45898,0.467191,0.29869,1.63824,0.514096,0.491469,0.695378,0.890805,1.07545,2.4444,2.09801,0.502642,0.523816,0.614851,0.825747,0.343429,1.04498,1.1359,0.620269
3,1.69815,4.12739,3.59565,3.19827,2.48059,1.26758,1.0206,2.47171,2.11022,1.78586,1.98138,1.6866,2.93437,2.96239,1.56961,1.73273,2.14982,1.60159,1.4868,1.33261,2.10036,4.96266,3.36848,2.50692,1.29565,1.7277,2.42624,2.19533,2.40164,3.62879,2.57453,2.38497,1.66162,2.06385,2.30234,2.30225,5.26248,5.41067,4.46203,3.53551,2.35647,1.49217,3.42083,3.63602,4.68879,6.02668,5.72265,3.14088,1.67645,2.05465,2.90294,3.87499,5.00528,5.09412,4.4932,2.54082,1.47394,1.45506,1.54111,2.59958,4.08843,2.80064,2.09188,1.86239,1.39177,1.82928,2.12572,2.40097,2.31538,2.19272,2.50365,1.89365,1.53336,1.85143,1.65177,2.14326,1.75481,1.26755,2.87999,1.89721,1.49173,1.98027,1.10343,1.77456,1.60443,1.65012,1.47989,0.916709,0.922932,0.872633,0.847709,1.29633,1.05942,1.39413,1.08085,1.13039,1.25112,0.96383,1.08766,1.19161,0.661034,0.792165,0.648187,0.464658
4,0.062078,0.559311,4.64016,1.43334,1.89945,0.602407,2.8459,4.76056,0.102614,0.283539,2.18015,1.17775,1.03402,0.731552,7.46777,3.13821,0.125223,0.247529,0.861686,0.356094,1.11543,1.95787,4.14775,2.49837,0.272545,0.553254,0.523525,0.714089,1.92169,2.60689,1.58177,2.08676,0.2655,0.465299,0.795064,0.387243,1.82152,0.618069,2.20563,3.37133,0.577532,0.32608,0.236563,1.45248,6.95196,3.37702,3.56267,2.91715,1.29706,0.801726,0.47007,3.75211,6.62048,2.34299,4.15572,6.36706,0.760542,0.82252,2.30911,2.16845,1.15318,4.50983,3.26925,2.8797,0.874511,1.46768,1.62328,2.49283,1.10405,1.30886,1.92073,2.2643,0.960962,1.55958,2.41673,1.2121,1.28125,1.93508,1.88309,3.48256,0.708941,1.87403,0.331193,0.245122,1.59349,1.78668,3.93059,1.62461,0.445953,0.276499,0.573016,1.06149,1.08099,1.80922,0.768517,1.17669,0.856963,0.356843,0.353943,0.34804,0.613491,0.692871,0.982104,1.54981
5,4.00909,4.73612,3.38376,5.97367,6.56647,1.64891,0.821043,1.36429,2.36893,6.11767,3.12515,4.69175,4.17527,2.08598,1.20347,2.22998,1.39378,1.22325,0.821624,1.67975,4.17288,1.52726,4.0324,1.32991,2.20913,0.999623,1.28721,1.36965,3.30501,3.62078,0.64676,0.953181,1.22421,1.24309,2.38017,1.72221,2.17,4.11043,1.36723,0.811977,0.759458,0.98076,5.0635,2.83163,4.77545,2.54361,1.43089,1.00292,1.54986,3.44777,4.19074,3.77142,4.07543,1.68416,1.17976,1.5258,1.6585,2.16345,0.881789,2.12258,6.18096,1.51328,1.91009,0.765515,0.792057,1.68355,1.31981,1.37239,4.22025,10.4576,3.43647,1.60455,1.5337,0.684095,0.415784,1.1925,2.16643,5.92651,2.90923,2.63985,2.28542,0.64304,1.47527,2.63395,0.674228,1.02095,0.79862,0.937872,3.13257,1.13915,1.6687,1.50551,0.473299,0.612028,0.54947,0.470196,2.34821,2.73299,1.66211,0.510847,0.193165,0.399305,0.565062,0.210587
6,0.791655,1.57831,0.208561,0.35142,0.646667,0.861475,1.15409,1.3244,2.10301,1.45772,0.584344,1.03632,0.871835,0.863452,1.14018,1.06209,2.84193,3.6868,1.3263,0.677996,0.465439,0.547739,0.938399,0.780306,2.78152,5.69778,0.998073,1.21835,0.998419,0.547395,0.520574,0.586497,2.29782,1.74185,1.16251,1.55965,1.23831,1.39421,0.691334,1.81304,2.16225,0.909937,0.526812,0.672893,1.9886,1.88774,0.804397,1.28223,1.15042,0.683778,2.10135,1.49429,1.99683,2.62212,1.38658,1.12808,2.21343,1.01564,2.27703,1.89287,3.2606,1.45638,1.51417,0.983365,3.00842,1.10897,0.986341,3.3212,1.8357,2.31915,1.42783,1.52537,2.00016,1.00318,1.33884,2.67131,1.8711,2.04642,0.887872,1.27981,0.787991,0.378232,0.919819,1.49685,1.25431,2.20035,1.24165,0.365502,0.450088,0.379338,0.418116,1.79893,1.87105,1.36607,1.09187,0.488538,0.592049,0.339748,0.962471,2.03893,1.3818,1.07888,0.54532,0.727637
7,1.01719,0.944251,0.321253,0.587366,1.00821,1.52548,1.83476,2.10009,0.575872,0.416703,0.550094,0.996528,1.36904,0.742457,1.21364,1.76533,0.283305,1.81405,1.46039,0.919304,1.6747,1.17642,1.12375,0.951129,1.06595,2.31624,1.10643,0.679432,1.77067,1.86296,0.608354,0.592388,1.6057,0.250349,0.671279,1.28641,2.58779,1.79133,2.94081,0.966862,0.935901,0.328606,1.04007,2.90537,6.25213,3.82142,1.83115,5.10339,0.888466,1.0549,3.74595,3.17233,6.326,4.65307,1.49024,3.34371,0.631369,1.09333,0.727207,3.77797,3.26769,3.1644,3.19078,4.73498,1.38634,1.45794,1.18812,1.16359,2.97514,2.19334,2.10649,3.93855,1.16104,1.25377,1.19228,3.03308,1.12227,2.34112,2.45325,2.89882,0.454193,1.19659,3.51482,1.12069,2.05956,1.51311,2.6152,1.31997,0.387181,0.286019,0.715088,1.02497,1.11354,2.1265,1.87745,2.32405,0.41977,0.194495,0.394136,0.930076,0.369633,1.08414,1.3204,0.986027
8,0.450136,0.476093,0.383209,0.386588,1.4459,0.528762,0.547306,1.2949,1.10522,0.525142,0.208966,0.839066,1.95595,1.9972,1.35975,1.50987,0.811893,0.773475,0.375924,0.519613,1.36936,3.17936,2.35646,0.832116,0.42598,0.786515,1.77124,2.1896,2.09401,1.65643,2.05916,0.968601,0.350384,0.748294,2.34,1.93529,1.78099,2.30903,0.820814,1.09171,0.58254,0.783956,0.48559,1.95476,3.34982,3.12075,0.317254,0.2367,0.621321,0.793529,1.29089,4.13039,3.7592,1.25738,0.444115,0.376335,0.286239,0.365964,1.30741,2.77515,1.94949,1.26549,0.512414,0.944382,0.264004,0.329142,1.53008,11.8282,8.69695,1.55364,1.21787,0.80546,0.43481,0.470626,2.529,5.66364,2.36021,3.46028,3.34191,1.99863,0.668159,0.899477,2.11946,1.00754,1.76006,4.35426,2.25788,0.830575,1.66163,0.739095,0.97278,0.758779,0.925551,1.16197,0.805457,0.414331,0.308352,0.711842,0.749597,1.68127,0.46668,0.262804,0.178746,0.422928
9,0.397495,3.84142,2.30135,0.60148,0.505674,0.138278,0.286486,0.513741,0.586189,0.941483,1.02335,1.82234,0.626339,0.31981,0.19255,0.391755,3.09554,1.06716,1.52077,1.14958,0.458099,0.408143,0.451199,0.524868,1.87928,2.15871,1.68566,1.35412,0.391834,0.724482,2.65212,1.1108,1.77397,1.17554,3.93041,3.66414,1.26581,0.733871,0.961042,1.28889,1.71867,2.19346,1.80298,2.08841,2.87464,1.21782,0.737861,0.902836,0.615652,0.997917,1.13369,3.39536,3.33037,1.04153,2.0844,0.643675,0.829866,1.70217,3.18241,2.60273,1.66431,0.551434,0.526386,0.615629,0.962745,1.52742,1.26762,1.62956,2.96458,2.71354,2.37706,0.716864,0.994642,1.67035,1.63482,0.487381,1.28855,1.1062,1.42254,0.741418,0.64109,1.6241,2.58563,1.54819,0.788482,1.23959,1.86501,0.552863,0.841507,0.932609,0.415931,0.7765,0.531059,2.20402,1.57363,1.68023,0.765011,1.04998,0.680782,1.43485,0.645438,0.935511,1.11043,0.662979
